string_map_data__|,string_map_data__|__value
Date Range,Dec 26 - Mar 25
Followers,"1,839"
Followers Delta,+1% vs Sep 27 - Dec 25
Follows,127
Unfollows,107
Overall,20
Follower Percentage by City,"Davis: 57.2%, Sacramento: 4.1%, Woodland: 1.9%, San Diego: 1.2%, San Francisco: 1%"
Follower Percentage by Country,"United States: 97%, Canada: 0.2%, South Korea: 0.1%, United Kingdom: 0.1%, Nigeria: 0.1%"
Follower Percentage by Age for All Genders,"13-17: 0.2%, 18-24: 59.3%, 25-34: 24.9%, 35-44: 7.5%, 45-54: 5.2%, 55-64: 1.7%, 65+: 0.8%"
Follower Percentage by Age for Men,"13-17: 0%, 18-24: 53.4%, 25-34: 28.9%, 35-44: 9.6%, 45-54: 5.1%, 55-64: 1.7%, 65+: 1.1%"
Follower Percentage by Age for Women,"13-17: 0.1%, 18-24: 58.8%, 25-34: 25.3%, 35-44: 7.5%, 45-54: 5.5%, 55-64: 1.9%, 65+: 0.5%"
Total Follower Percentage for Men,18.6%
Total Follower Percentage for Women,81.3%
Monday Follower Activity,"1,355"
Tuesday Follower Activity,"1,324"
Wednesday Follower Activity,"1,318"
Thursday Follower Activity,"1,347"
Friday Follower Activity,"1,348"
Saturday Follower Activity,"1,350"
Sunday Follower Activity,"1,353"
