Account Insights,Metrics
Date Range,Dec 26 - Mar 25
Accounts Reached,12401
Accounts Reached Delta,+27.2% vs Sep 27 - Dec 25
Followers,"1,231"
Non-Followers,11.1K
Non-Followers Delta,You reached +35.3% more accounts that weren't following you compared to Sep 27 - Dec 25.
Impressions,"64,464"
Impressions Delta,9.4%
Profile Visits,"1,994"
Profile Visits Delta,-9.1%
Website Taps,115
Website Taps Delta,-26.8%
Email Button Taps,0
Email Button Taps Delta,-100%
Top cities,"Davis: 26.5%, Los Angeles: 3.3%, San Diego: 2.4%, Sacramento: 2.4%"
Top countries,"United States: 85.9%, India: 2.3%, United Kingdom: 1.3%, Canada: 1.2%"
Top age ranges,"18-24: 58.3%, 25-34: 24.4%, 13-17: 5.7%, 35-44: 5.4%"
Gender,"Men: 26.1%, Women: 73.8%"
