"title","string_map_data__|","string_map_data__|__href","string_map_data__|__value","string_map_data__|__timestamp"
"","Date Range","","Dec 26 - Mar 25","0"
"","Accounts Reached","","12401","0"
"","Accounts Reached Delta","","+27.2% vs Sep 27 - Dec 25","0"
"","Followers","","1,231","0"
"","Non-Followers","","11.1K","0"
"","Non-Followers Delta","","You reached +35.3% more accounts that weren't following you compared to Sep 27 - Dec 25.","0"
"","Impressions","","64,464","0"
"","Impressions Delta","","+9.4%","0"
"","Profile Visits","","1,994","0"
"","Profile Visits Delta","","-9.1%","0"
"","Website Taps","","115","0"
"","Website Taps Delta","","-26.8%","0"
"","Email Button Taps","","0","0"
"","Email Button Taps Delta","","-100%","0"
"","Top cities","","Davis: 26.5%, Los Angeles: 3.3%, San Diego: 2.4%, Sacramento: 2.4%","0"
"","Top countries","","United States: 85.9%, India: 2.3%, United Kingdom: 1.3%, Canada: 1.2%","0"
"","Top age ranges","","18-24: 58.3%, 25-34: 24.4%, 13-17: 5.7%, 35-44: 5.4%","0"
"","Gender","","Men: 26.1%, Women: 73.8%","0"
